while,접속사: ~하는 동안
by the time,접속사: ~할 때까지
as soon as,접속사: ~하자마자
unless,접속사: 만약 ~이 아니라면
in case (that),"접속사: ~한 경우에, ~에 대비하여"
although,접속사: 비록 ~이지만
even though,접속사: 비록 ~이지만
while,접속사: ~한 반면에
because,접속사: ~때문에
as (이유),접속사: ~때문에
since (이유),접속사: ~때문에
so that,접속사: ~할 수 있도록
in order that,접속사: ~할 수 있도록
except that,접속사: ~을 제외하면
given that,접속사: ~을 고려했을 때
whether,접속사: ~에 상관없이
as if,접속사: 마치 ~처럼
as though,접속사: 마치 ~처럼
until,"접속사: ~할 때까지, 전치사: ~까지"
after,"접속사,전치사: ~후에"
before,"접속사,전치사: ~전에"
since (시간),"접속사,전치사: ~이래로"
considering,"접속사,전치사: ~을 고려했을 때"
as (기타),"접속사: ~처럼, 전치사: ~로서"
during,전치사: ~동안
following,전치사: ~후에
on(upon) -ing,전치사: ~하자마자
without,전치사: ~이 없다면
in case of,전치사: ~의 경우에
in the event of,전치사: ~의 경우에
despite,전치사: ~에도 불구하고
in spite of,전치사: ~에도 불구하고
because of,전치사: ~때문에
due to,전치사: ~때문에
so as to + 동사원형,전치사: ~하기 위해서
except (for),전치사: ~을 제외하면
given that,전치사: ~을 고려했을 때
regardless of,전치사: ~에 상관없이
like,전치사: ~처럼
